"","ID","NAME","DATE","TIME","L","CLASS","LAT","LONG","WIND","PRESS","SEASON","NUM","TIMESTAMP"
"1","EP011949","UNNAMED",1949-06-11,"0000",NA," TS",20.2,-106.3,45,NA,"1949",1,1949-06-11 00:00:00
"2","EP011949","UNNAMED",1949-06-11,"0600",NA," TS",20.2,-106.4,45,NA,"1949",1,1949-06-11 06:00:00
"3","EP011949","UNNAMED",1949-06-11,"1200",NA," TS",20.2,-106.7,45,NA,"1949",1,1949-06-11 12:00:00
"4","EP011949","UNNAMED",1949-06-11,"1800",NA," TS",20.3,-107.7,45,NA,"1949",1,1949-06-11 18:00:00
"5","EP011949","UNNAMED",1949-06-12,"0000",NA," TS",20.4,-108.6,45,NA,"1949",1,1949-06-12 00:00:00
"6","EP011949","UNNAMED",1949-06-12,"0600",NA," TS",20.5,-109.4,45,NA,"1949",1,1949-06-12 06:00:00
"7","EP011949","UNNAMED",1949-06-12,"1200",NA," TS",20.6,-110.2,45,NA,"1949",1,1949-06-12 12:00:00
"8","EP021949","UNNAMED",1949-06-17,"1200",NA," TS",14.1,-107,45,NA,"1949",2,1949-06-17 12:00:00
"9","EP021949","UNNAMED",1949-06-17,"1800",NA," TS",14.6,-107.7,45,NA,"1949",2,1949-06-17 18:00:00
"10","EP021949","UNNAMED",1949-06-18,"0000",NA," TS",15,-108.4,45,NA,"1949",2,1949-06-18 00:00:00
"11","EP021949","UNNAMED",1949-06-18,"0600",NA," TS",15.4,-109.2,45,NA,"1949",2,1949-06-18 06:00:00
"12","EP021949","UNNAMED",1949-06-18,"1200",NA," TS",15.7,-110,45,NA,"1949",2,1949-06-18 12:00:00
"13","EP021949","UNNAMED",1949-06-18,"1800",NA," TS",16,-110.8,45,NA,"1949",2,1949-06-18 18:00:00
"14","EP021949","UNNAMED",1949-06-19,"0000",NA," TS",16.3,-111.6,45,NA,"1949",2,1949-06-19 00:00:00
"15","EP021949","UNNAMED",1949-06-19,"0600",NA," TS",16.7,-112.3,45,NA,"1949",2,1949-06-19 06:00:00
"16","EP021949","UNNAMED",1949-06-19,"1200",NA," TS",17.1,-112.9,45,NA,"1949",2,1949-06-19 12:00:00
"17","EP021949","UNNAMED",1949-06-19,"1800",NA," TS",17.5,-113.5,45,NA,"1949",2,1949-06-19 18:00:00
"18","EP021949","UNNAMED",1949-06-20,"0000",NA," TS",18,-114.1,45,NA,"1949",2,1949-06-20 00:00:00
"19","EP021949","UNNAMED",1949-06-20,"0600",NA," TS",18.4,-114.6,45,NA,"1949",2,1949-06-20 06:00:00
"20","EP021949","UNNAMED",1949-06-20,"1200",NA," TS",18.9,-115.1,45,NA,"1949",2,1949-06-20 12:00:00
"21","EP021949","UNNAMED",1949-06-20,"1800",NA," TS",19.4,-115.6,45,NA,"1949",2,1949-06-20 18:00:00
"22","EP021949","UNNAMED",1949-06-21,"0000",NA," TS",19.9,-116,45,NA,"1949",2,1949-06-21 00:00:00
"23","EP021949","UNNAMED",1949-06-21,"0600",NA," TS",20.4,-116.4,45,NA,"1949",2,1949-06-21 06:00:00
"24","EP021949","UNNAMED",1949-06-21,"1200",NA," TS",21,-116.7,45,NA,"1949",2,1949-06-21 12:00:00
"25","EP021949","UNNAMED",1949-06-21,"1800",NA," TS",21.5,-117.1,45,NA,"1949",2,1949-06-21 18:00:00
"26","EP021949","UNNAMED",1949-06-22,"0000",NA," TS",22,-117.5,45,NA,"1949",2,1949-06-22 00:00:00
"27","EP021949","UNNAMED",1949-06-22,"0600",NA," TS",22.5,-117.8,45,NA,"1949",2,1949-06-22 06:00:00
"28","EP021949","UNNAMED",1949-06-22,"1200",NA," TS",23.1,-118,45,NA,"1949",2,1949-06-22 12:00:00
"29","EP021949","UNNAMED",1949-06-22,"1800",NA," TS",23.9,-118,45,NA,"1949",2,1949-06-22 18:00:00
"30","EP021949","UNNAMED",1949-06-23,"0000",NA," TS",24.7,-117.7,45,NA,"1949",2,1949-06-23 00:00:00
"31","EP021949","UNNAMED",1949-06-23,"0600",NA," TS",25.4,-117.4,45,NA,"1949",2,1949-06-23 06:00:00
"32","EP021949","UNNAMED",1949-06-23,"1200",NA," TS",26,-117,45,NA,"1949",2,1949-06-23 12:00:00
"33","EP031949","UNNAMED",1949-09-03,"1200",NA," TS",17.3,-106.3,45,NA,"1949",3,1949-09-03 12:00:00
"34","EP031949","UNNAMED",1949-09-03,"1800",NA," TS",17.6,-106.6,45,NA,"1949",3,1949-09-03 18:00:00
"35","EP031949","UNNAMED",1949-09-04,"0000",NA," TS",17.9,-106.8,45,NA,"1949",3,1949-09-04 00:00:00
"36","EP031949","UNNAMED",1949-09-04,"0600",NA," TS",18.4,-106.8,45,NA,"1949",3,1949-09-04 06:00:00
"37","EP031949","UNNAMED",1949-09-04,"1200",NA," TS",18.8,-106.9,45,NA,"1949",3,1949-09-04 12:00:00
"38","EP031949","UNNAMED",1949-09-04,"1800",NA," TS",18.9,-106.9,45,NA,"1949",3,1949-09-04 18:00:00
"39","EP031949","UNNAMED",1949-09-05,"0000",NA," TS",19,-107,45,NA,"1949",3,1949-09-05 00:00:00
"40","EP031949","UNNAMED",1949-09-05,"0600",NA," TS",19,-107.1,45,NA,"1949",3,1949-09-05 06:00:00
"41","EP031949","UNNAMED",1949-09-05,"1200",NA," TS",19.1,-107.2,45,NA,"1949",3,1949-09-05 12:00:00
"42","EP031949","UNNAMED",1949-09-05,"1800",NA," TS",19.6,-107.9,45,NA,"1949",3,1949-09-05 18:00:00
"43","EP031949","UNNAMED",1949-09-06,"0000",NA," TS",20.2,-108.8,45,NA,"1949",3,1949-09-06 00:00:00
"44","EP031949","UNNAMED",1949-09-06,"0600",NA," TS",20.7,-109.4,45,NA,"1949",3,1949-09-06 06:00:00
"45","EP031949","UNNAMED",1949-09-06,"1200",NA," TS",21.2,-110,45,NA,"1949",3,1949-09-06 12:00:00
"46","EP031949","UNNAMED",1949-09-06,"1800",NA," TS",22,-110.8,45,NA,"1949",3,1949-09-06 18:00:00
"47","EP031949","UNNAMED",1949-09-07,"0000",NA," TS",22.9,-111.7,45,NA,"1949",3,1949-09-07 00:00:00
"48","EP031949","UNNAMED",1949-09-07,"0600",NA," TS",23.8,-112.8,45,NA,"1949",3,1949-09-07 06:00:00
"49","EP031949","UNNAMED",1949-09-07,"1200",NA," TS",24.8,-113.8,45,NA,"1949",3,1949-09-07 12:00:00
"50","EP031949","UNNAMED",1949-09-07,"1800",NA," TS",25.5,-114.5,45,NA,"1949",3,1949-09-07 18:00:00
"51","EP031949","UNNAMED",1949-09-08,"0000",NA," TS",26.2,-115.2,45,NA,"1949",3,1949-09-08 00:00:00
"52","EP031949","UNNAMED",1949-09-08,"0600",NA," TS",27.6,-115.9,45,NA,"1949",3,1949-09-08 06:00:00
"53","EP031949","UNNAMED",1949-09-08,"1200",NA," TS",28.6,-116.4,45,NA,"1949",3,1949-09-08 12:00:00
"54","EP031949","UNNAMED",1949-09-08,"1800",NA," TS",28.4,-116.4,45,NA,"1949",3,1949-09-08 18:00:00
"55","EP031949","UNNAMED",1949-09-09,"0000",NA," TS",28.2,-116.4,45,NA,"1949",3,1949-09-09 00:00:00
"56","EP031949","UNNAMED",1949-09-09,"0600",NA," TS",28.1,-116.4,45,NA,"1949",3,1949-09-09 06:00:00
"57","EP031949","UNNAMED",1949-09-09,"1200",NA," TS",28,-116.5,45,NA,"1949",3,1949-09-09 12:00:00
"58","EP041949","UNNAMED",1949-09-09,"1200",NA," HU",19.3,-108.6,75,NA,"1949",4,1949-09-09 12:00:00
"59","EP041949","UNNAMED",1949-09-09,"1800",NA," HU",20.2,-109.4,75,NA,"1949",4,1949-09-09 18:00:00
"60","EP041949","UNNAMED",1949-09-10,"0000",NA," HU",21.2,-110.2,75,NA,"1949",4,1949-09-10 00:00:00
