,ID,NAME,DATE,TIME,L,CLASS,LAT,LONG,WIND,PRESS,SEASON,NUM,TIMESTAMP
0,SH072017,UNNAMED,2017-02-20,0000,  , TD,-17.5,-171.2,25,1004,2017,7,2017-02-20 06:00:00
1,SH072017,UNNAMED,2017-02-20,0100,  , TD,-18.0,-170.1,30,1000,2017,7,2017-02-20 12:00:00
2,SH072017,UNNAMED,2017-02-20,0100,  , TS,-18.8,-168.2,35,996,2017,7,2017-02-20 18:00:00
3,SH072017,UNNAMED,2017-02-21,1000,  , TS,-19.9,-165.9,35,998,2017,7,2017-02-21 00:00:00
4,SH072017,UNNAMED,2017-02-21,1000,  , TS,-20.8,-164.3,40,999,2017,7,2017-02-21 06:00:00
5,SH072017,UNNAMED,2017-02-21,1100,  , TS,-22.0,-162.2,40,999,2017,7,2017-02-21 12:00:00
6,SH072017,UNNAMED,2017-02-21,1100,  , TS,-23.7,-159.6,40,993,2017,7,2017-02-21 18:00:00
7,SH072017,UNNAMED,2017-02-22,2000,  , TS,-24.9,-157.7,35,996,2017,7,2017-02-22 00:00:00
8,SH072017,UNNAMED,2017-02-22,2000,  , TS,-26.2,-155.7,35,996,2017,7,2017-02-22 06:00:00
9,SH072017,UNNAMED,2017-02-22,2100,  , EX,-27.8,-155.1,30,1000,2017,7,2017-02-22 12:00:00
0,SH102009,UNNAMED,2009-01-24,4100,  , DB,-18.1,120.1,20,1007,2009,10,2009-01-24 18:00:00
1,SH102009,UNNAMED,2009-01-25,5000,  , TD,-18.4,118.9,30,1000,2009,10,2009-01-25 00:00:00
2,SH102009,UNNAMED,2009-01-25,5000,  , TD,-18.8,117.7,25,1004,2009,10,2009-01-25 06:00:00
3,SH102009,UNNAMED,2009-01-25,5100,  , TD,-18.7,116.7,25,1002,2009,10,2009-01-25 12:00:00
4,SH102009,UNNAMED,2009-01-25,5100,  , TS,-19.1,116.3,35,996,2009,10,2009-01-25 18:00:00
5,SH102009,UNNAMED,2009-01-26,6000,  , TS,-19.5,115.9,40,993,2009,10,2009-01-26 00:00:00
6,SH102009,UNNAMED,2009-01-26,6000,  , TS,-20.3,115.5,50,985,2009,10,2009-01-26 06:00:00
7,SH102009,UNNAMED,2009-01-26,6100,  , TS,-20.8,115.2,50,985,2009,10,2009-01-26 12:00:00
8,SH102009,UNNAMED,2009-01-26,6100,  , TS,-21.4,115.2,50,985,2009,10,2009-01-26 18:00:00
9,SH102009,UNNAMED,2009-01-27,7000,  , TS,-22.1,115.3,40,993,2009,10,2009-01-27 00:00:00
10,SH102009,UNNAMED,2009-01-27,7000,  , TD,-23.2,115.5,30,1000,2009,10,2009-01-27 06:00:00
11,SH102009,UNNAMED,2009-01-27,7100,  , TD,-24.4,116.2,25,1004,2009,10,2009-01-27 12:00:00
12,SH102009,UNNAMED,2009-01-27,7100,  , TD,-25.8,116.9,25,1004,2009,10,2009-01-27 18:00:00
13,SH102009,UNNAMED,2009-01-28,8000,  , DB,-27.2,117.8,20,1007,2009,10,2009-01-28 00:00:00
14,SH102009,UNNAMED,2009-01-28,8000,  , DB,-29.4,119.6,20,1007,2009,10,2009-01-28 06:00:00
0,SH222015,UNNAMED,2015-04-05,5000,  , TD,-15.5,65.6,25,1004,2015,22,2015-04-05 06:00:00
1,SH222015,UNNAMED,2015-04-05,5100,  , TD,-15.2,64.6,30,1000,2015,22,2015-04-05 12:00:00
2,SH222015,UNNAMED,2015-04-05,5100,  , TS,-14.9,63.9,35,996,2015,22,2015-04-05 18:00:00
3,SH222015,UNNAMED,2015-04-06,6000,  , TS,-14.7,63.2,35,996,2015,22,2015-04-06 00:00:00
4,SH222015,UNNAMED,2015-04-06,6000,  , TS,-14.5,62.6,40,993,2015,22,2015-04-06 06:00:00
5,SH222015,UNNAMED,2015-04-06,6100,  , TS,-14.3,62.2,45,989,2015,22,2015-04-06 12:00:00
6,SH222015,UNNAMED,2015-04-06,6100,  , TS,-13.9,62.1,40,993,2015,22,2015-04-06 18:00:00
7,SH222015,UNNAMED,2015-04-07,7000,  , TS,-13.6,62.3,45,989,2015,22,2015-04-07 00:00:00
8,SH222015,UNNAMED,2015-04-07,7000,  , TS,-13.7,62.8,50,985,2015,22,2015-04-07 03:00:00
9,SH222015,UNNAMED,2015-04-07,7000,  , TY,-14.0,62.7,65,974,2015,22,2015-04-07 06:00:00
11,SH222015,UNNAMED,2015-04-07,7100,  , TY,-14.3,62.8,75,967,2015,22,2015-04-07 12:00:00
14,SH222015,UNNAMED,2015-04-07,7100,  , TY,-14.4,63.0,75,967,2015,22,2015-04-07 15:00:00
17,SH222015,UNNAMED,2015-04-07,7100,  , TY,-14.6,63.2,90,956,2015,22,2015-04-07 18:00:00
20,SH222015,UNNAMED,2015-04-08,8000,  , TY,-14.5,63.4,90,956,2015,22,2015-04-08 00:00:00
23,SH222015,UNNAMED,2015-04-08,8000,  , TY,-14.6,64.0,85,959,2015,22,2015-04-08 06:00:00
26,SH222015,UNNAMED,2015-04-08,8000,  , TY,-14.9,64.5,85,959,2015,22,2015-04-08 09:00:00
29,SH222015,UNNAMED,2015-04-08,8100,  , TY,-15.2,64.8,85,959,2015,22,2015-04-08 12:00:00
32,SH222015,UNNAMED,2015-04-08,8100,  , TY,-15.8,65.1,80,963,2015,22,2015-04-08 18:00:00
35,SH222015,UNNAMED,2015-04-09,9000,  , TY,-16.1,65.3,80,963,2015,22,2015-04-09 00:00:00
38,SH222015,UNNAMED,2015-04-09,9000,  , TY,-16.5,65.6,75,967,2015,22,2015-04-09 06:00:00
41,SH222015,UNNAMED,2015-04-09,9100,  , TY,-17.0,65.7,75,967,2015,22,2015-04-09 12:00:00
44,SH222015,UNNAMED,2015-04-09,9100,  , TY,-17.6,65.8,75,967,2015,22,2015-04-09 18:00:00
47,SH222015,UNNAMED,2015-04-10,0000,  , TY,-18.1,65.9,75,967,2015,22,2015-04-10 00:00:00
50,SH222015,UNNAMED,2015-04-10,0000,  , TY,-18.5,66.3,75,967,2015,22,2015-04-10 06:00:00
53,SH222015,UNNAMED,2015-04-10,0100,  , TY,-18.9,66.5,75,967,2015,22,2015-04-10 12:00:00
56,SH222015,UNNAMED,2015-04-10,0100,  , TY,-19.4,66.9,75,967,2015,22,2015-04-10 18:00:00
59,SH222015,UNNAMED,2015-04-11,1000,  , TY,-20.2,67.4,85,959,2015,22,2015-04-11 00:00:00
62,SH222015,UNNAMED,2015-04-11,1000,  , TY,-21.1,67.7,80,963,2015,22,2015-04-11 06:00:00
65,SH222015,UNNAMED,2015-04-11,1100,  , TY,-21.8,67.9,80,963,2015,22,2015-04-11 12:00:00
68,SH222015,UNNAMED,2015-04-11,1100,  , TY,-23.3,68.1,75,967,2015,22,2015-04-11 18:00:00
71,SH222015,UNNAMED,2015-04-12,2000,  , TY,-24.6,68.2,65,974,2015,22,2015-04-12 00:00:00
74,SH222015,UNNAMED,2015-04-12,2000,  , TS,-25.9,67.8,60,978,2015,22,2015-04-12 06:00:00
76,SH222015,UNNAMED,2015-04-12,2100,  , TS,-26.8,67.5,55,982,2015,22,2015-04-12 12:00:00
78,SH222015,UNNAMED,2015-04-12,2100,  , SS,-27.6,66.9,50,985,2015,22,2015-04-12 18:00:00
80,SH222015,UNNAMED,2015-04-13,3000,  , SS,-28.3,66.3,50,985,2015,22,2015-04-13 00:00:00
81,SH222015,UNNAMED,2015-04-13,3000,  , SS,-29.0,65.3,50,985,2015,22,2015-04-13 06:00:00
82,SH222015,UNNAMED,2015-04-13,3100,  , SS,-29.5,65.5,50,985,2015,22,2015-04-13 12:00:00
83,SH222015,UNNAMED,2015-04-13,3100,  , SS,-30.6,65.8,50,985,2015,22,2015-04-13 18:00:00
84,SH222015,UNNAMED,2015-04-14,4000,  , SS,-31.9,66.5,50,985,2015,22,2015-04-14 00:00:00
85,SH222015,UNNAMED,2015-04-14,4000,  , SS,-33.0,67.4,55,982,2015,22,2015-04-14 06:00:00
86,SH222015,UNNAMED,2015-04-14,4100,  , SS,-34.4,69.2,55,982,2015,22,2015-04-14 12:00:00
0,SH182010,UNNAMED,2010-03-09,9000,  , DB,-19.2,50.9,20,1007,2010,18,2010-03-09 00:00:00
1,SH182010,UNNAMED,2010-03-09,9000,  , TD,-19.6,51.0,25,1004,2010,18,2010-03-09 06:00:00
2,SH182010,UNNAMED,2010-03-09,9100,  , DB,-20.0,50.8,30,1000,2010,18,2010-03-09 12:00:00
3,SH182010,UNNAMED,2010-03-09,9100,  , DB,-20.4,50.4,30,1000,2010,18,2010-03-09 18:00:00
4,SH182010,UNNAMED,2010-03-10,0000,  , TS,-20.5,49.9,35,996,2010,18,2010-03-10 00:00:00
5,SH182010,UNNAMED,2010-03-10,0000,  , TS,-20.9,49.5,35,996,2010,18,2010-03-10 06:00:00
6,SH182010,UNNAMED,2010-03-10,0100,  , TS,-20.9,49.0,40,993,2010,18,2010-03-10 12:00:00
7,SH182010,UNNAMED,2010-03-10,0100,  , TS,-21.0,48.7,50,985,2010,18,2010-03-10 18:00:00
8,SH182010,UNNAMED,2010-03-11,1000,  , TS,-20.9,48.3,40,993,2010,18,2010-03-11 00:00:00
9,SH182010,UNNAMED,2010-03-11,1000,  , TS,-20.7,47.9,35,996,2010,18,2010-03-11 06:00:00
10,SH182010,UNNAMED,2010-03-11,1100,  , TD,-20.9,47.5,30,1000,2010,18,2010-03-11 12:00:00
11,SH182010,UNNAMED,2010-03-11,1100,  , TD,-21.2,47.2,25,1004,2010,18,2010-03-11 18:00:00
0,SH072012,UNNAMED,2012-01-18,8000,  , DB,-12.3,71.8,20,1007,2012,7,2012-01-18 00:00:00
1,SH072012,UNNAMED,2012-01-18,8000,  , DB,-12.7,70.7,20,1007,2012,7,2012-01-18 06:00:00
2,SH072012,UNNAMED,2012-01-18,8100,  , TD,-13.1,69.6,25,1004,2012,7,2012-01-18 12:00:00
3,SH072012,UNNAMED,2012-01-18,8100,  , DB,-13.8,68.6,30,1000,2012,7,2012-01-18 18:00:00
4,SH072012,UNNAMED,2012-01-19,9000,  , TS,-14.3,67.7,35,996,2012,7,2012-01-19 00:00:00
5,SH072012,UNNAMED,2012-01-19,9000,  , TS,-14.9,67.0,45,989,2012,7,2012-01-19 06:00:00
6,SH072012,UNNAMED,2012-01-19,9100,  , TS,-16.1,66.4,50,985,2012,7,2012-01-19 12:00:00
7,SH072012,UNNAMED,2012-01-19,9100,  , TS,-17.4,65.9,55,982,2012,7,2012-01-19 18:00:00
