,ID,NAME,DATE,TIME,L,CLASS,LAT,LONG,WIND,PRESS,SEASON,NUM,TIMESTAMP
0,WP132014,UNNAMED,2014-09-05,5100,  , DB,21.8,127.1,15,1010,2014,13,2014-09-05 18:00:00
1,WP132014,UNNAMED,2014-09-06,6000,  , DB,23.1,127.1,20,1003,2014,13,2014-09-06 00:00:00
2,WP132014,UNNAMED,2014-09-06,6000,  , DB,24.0,127.2,20,1003,2014,13,2014-09-06 06:00:00
3,WP132014,UNNAMED,2014-09-06,6100,  , DB,25.2,127.9,25,1004,2014,13,2014-09-06 12:00:00
4,WP132014,UNNAMED,2014-09-06,6100,  , DB,26.4,128.8,25,1003,2014,13,2014-09-06 18:00:00
5,WP132014,UNNAMED,2014-09-07,7000,  , TD,27.2,129.6,30,1000,2014,13,2014-09-07 00:00:00
6,WP132014,UNNAMED,2014-09-07,7000,  , TD,27.7,130.3,30,1000,2014,13,2014-09-07 03:00:00
7,WP132014,UNNAMED,2014-09-07,7000,  , TS,28.0,131.4,35,996,2014,13,2014-09-07 06:00:00
8,WP132014,UNNAMED,2014-09-07,7100,  , TS,28.1,133.0,45,988,2014,13,2014-09-07 12:00:00
9,WP132014,UNNAMED,2014-09-07,7100,  , TS,28.7,134.4,50,985,2014,13,2014-09-07 18:00:00
10,WP132014,UNNAMED,2014-09-08,8000,  , TS,29.2,135.7,55,982,2014,13,2014-09-08 00:00:00
12,WP132014,UNNAMED,2014-09-08,8000,  , TS,29.9,137.5,55,982,2014,13,2014-09-08 06:00:00
14,WP132014,UNNAMED,2014-09-08,8100,  , TS,30.8,139.2,55,982,2014,13,2014-09-08 12:00:00
16,WP132014,UNNAMED,2014-09-08,8100,  , TY,31.6,140.7,65,974,2014,13,2014-09-08 18:00:00
18,WP132014,UNNAMED,2014-09-09,9000,  , TS,32.5,142.8,60,978,2014,13,2014-09-09 00:00:00
20,WP132014,UNNAMED,2014-09-09,9000,  , TS,33.1,145.0,55,982,2014,13,2014-09-09 06:00:00
22,WP132014,UNNAMED,2014-09-09,9100,  , EX,33.9,147.1,50,985,2014,13,2014-09-09 12:00:00
24,WP132014,UNNAMED,2014-09-09,9100,  , EX,35.0,150.0,45,989,2014,13,2014-09-09 18:00:00
25,WP132014,UNNAMED,2014-09-10,0000,  , EX,35.9,152.9,40,993,2014,13,2014-09-10 00:00:00
0,WP172008,UNNAMED,2008-09-12,2100,  , DB,28.1,147.5,15,1010,2008,17,2008-09-12 18:00:00
1,WP172008,UNNAMED,2008-09-13,3000,  , TD,29.2,147.6,20,1007,2008,17,2008-09-13 00:00:00
2,WP172008,UNNAMED,2008-09-13,3000,  , TD,30.4,147.7,20,1007,2008,17,2008-09-13 06:00:00
3,WP172008,UNNAMED,2008-09-13,3100,  , TD,31.7,147.7,20,1007,2008,17,2008-09-13 12:00:00
4,WP172008,UNNAMED,2008-09-13,3100,  , TD,32.9,148.5,25,1004,2008,17,2008-09-13 18:00:00
5,WP172008,UNNAMED,2008-09-14,4000,  , TD,34.2,149.4,30,1000,2008,17,2008-09-14 00:00:00
6,WP172008,UNNAMED,2008-09-14,4000,  , TS,35.4,150.8,35,996,2008,17,2008-09-14 06:00:00
7,WP172008,UNNAMED,2008-09-14,4100,  , TS,36.8,153.0,35,996,2008,17,2008-09-14 12:00:00
8,WP172008,UNNAMED,2008-09-14,4100,  , EX,38.6,156.0,35,996,2008,17,2008-09-14 18:00:00
9,WP172008,UNNAMED,2008-09-15,5000,  , EX,40.8,159.3,35,996,2008,17,2008-09-15 00:00:00
10,WP172008,UNNAMED,2008-09-15,5000,  , EX,43.3,163.0,35,996,2008,17,2008-09-15 06:00:00
0,WP042010,UNNAMED,2010-07-17,7000,  , DB,15.3,123.3,15,1010,2010,4,2010-07-17 00:00:00
1,WP042010,UNNAMED,2010-07-17,7000,  , DB,15.5,123.0,20,1007,2010,4,2010-07-17 06:00:00
2,WP042010,UNNAMED,2010-07-17,7100,  , DB,15.3,122.7,20,1007,2010,4,2010-07-17 12:00:00
3,WP042010,UNNAMED,2010-07-17,7100,  , DB,15.2,122.4,20,1010,2010,4,2010-07-17 18:00:00
4,WP042010,UNNAMED,2010-07-18,8000,  , TD,15.2,122.0,25,1004,2010,4,2010-07-18 00:00:00
5,WP042010,UNNAMED,2010-07-18,8000,  , TD,15.4,121.2,25,1004,2010,4,2010-07-18 06:00:00
6,WP042010,UNNAMED,2010-07-18,8100,  , TD,15.4,120.3,25,1004,2010,4,2010-07-18 12:00:00
7,WP042010,UNNAMED,2010-07-18,8100,  , TD,15.3,119.3,25,1004,2010,4,2010-07-18 18:00:00
8,WP042010,UNNAMED,2010-07-19,9000,  , TD,15.2,118.3,25,1004,2010,4,2010-07-19 00:00:00
9,WP042010,UNNAMED,2010-07-19,9000,  , TD,15.4,117.3,30,1000,2010,4,2010-07-19 06:00:00
10,WP042010,UNNAMED,2010-07-19,9100,  , TS,15.9,116.5,35,996,2010,4,2010-07-19 12:00:00
11,WP042010,UNNAMED,2010-07-19,9100,  , TS,16.7,116.4,35,996,2010,4,2010-07-19 18:00:00
12,WP042010,UNNAMED,2010-07-20,0000,  , TS,17.4,115.9,35,996,2010,4,2010-07-20 00:00:00
13,WP042010,UNNAMED,2010-07-20,0000,  , TS,17.9,115.2,35,996,2010,4,2010-07-20 06:00:00
14,WP042010,UNNAMED,2010-07-20,0100,  , TS,18.1,114.3,45,989,2010,4,2010-07-20 12:00:00
15,WP042010,UNNAMED,2010-07-20,0100,  , TS,18.1,113.7,50,985,2010,4,2010-07-20 18:00:00
16,WP042010,UNNAMED,2010-07-21,1000,  , TS,18.4,113.1,55,982,2010,4,2010-07-21 00:00:00
18,WP042010,UNNAMED,2010-07-21,1000,  , TS,18.9,112.8,55,982,2010,4,2010-07-21 06:00:00
19,WP042010,UNNAMED,2010-07-21,1100,  , TS,19.4,112.4,60,978,2010,4,2010-07-21 12:00:00
21,WP042010,UNNAMED,2010-07-21,1100,  , TY,19.9,111.9,70,970,2010,4,2010-07-21 18:00:00
23,WP042010,UNNAMED,2010-07-22,2000,  , TY,20.7,111.3,80,963,2010,4,2010-07-22 00:00:00
